"id","dishname","dishcode","reciepeitemname","pgNo","receipescoop","qty","inGm","inML","inPiece","comments","created_at"
508,"Margherita Pizza","D142","chilly flakes+oregano","61  62","chilly flakes+oregano_gm_reciepe",14,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
509,"Margherita Pizza","D142","pasta sauce","48","pasta sauce_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
510,"Margherita Pizza","D142","dal","5","dal_gm_reciepe",250,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
511,"Margherita Pizza","D142","matar","79","matar_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
512,"Margherita Pizza","D142","rice","3","rice_gm_reciepe",250,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
513,"Margherita Pizza","D142","chat amsala","21B","chat amsala_gm_reciepe",2,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
514,"Margherita Pizza","D142","Coriander","V9","Coriander_gm_reciepe",3,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
515,"Margherita Pizza","D142","Cucumber","V12","Cucumber_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
516,"Margherita Pizza","D142","Lemon","V13","Lemon_gm_reciepe",25,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
517,"Margherita Pizza","D142","Onion","V11","Onion_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
518,"Margherita Pizza","D142","lal mirch","110","lal mirch_gm_reciepe",2,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
519,"Margherita Pizza","D142","salt","27A","salt_gm_reciepe",3,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
520,"Margherita Pizza","D142","Tomato","V18","Tomato_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
521,"Margherita Pizza","D142","totalingredientsqty",NULL,NULL,664,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
522,"Margherita Pizza","D142","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 13:39:31.871652+00"
523,"Margherita Pizza","D142","dish_out",NULL,"Margherita Pizza_1_portion",NULL,0,0,0,"","2026-09-21 13:39:31.871652+00"
524,"Margherita Pizza","D142","mozerella","74","mozerella_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 13:41:27.875092+00"
525,"Margherita Pizza","D142","chilly flakes+oregano","61  62","chilly flakes+oregano_gm_reciepe",14,NULL,NULL,NULL,"","2026-09-21 13:41:27.875092+00"
526,"Margherita Pizza","D142","pasta sauce","48","pasta sauce_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 13:41:27.875092+00"
527,"Margherita Pizza","D142","PIZZA BASE","B3",NULL,1,NULL,NULL,NULL,"","2026-09-21 13:41:27.875092+00"
528,"Margherita Pizza","D142","totalingredientsqty",NULL,NULL,55,NULL,NULL,NULL,"","2026-09-21 13:41:27.875092+00"
529,"Margherita Pizza","D142","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 13:41:27.875092+00"
530,"Margherita Pizza","D142","dish_out",NULL,"Margherita Pizza_1_portion",NULL,0,0,0,"","2026-09-21 13:41:27.875092+00"
531,"Margherita Pizza","D142","mozerella","74","mozerella_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 13:41:27.882305+00"
532,"Margherita Pizza","D142","chilly flakes+oregano","61  62","chilly flakes+oregano_gm_reciepe",14,NULL,NULL,NULL,"","2026-09-21 13:41:27.882305+00"
533,"Margherita Pizza","D142","pasta sauce","48","pasta sauce_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 13:41:27.882305+00"
534,"Margherita Pizza","D142","PIZZA BASE","B3",NULL,1,NULL,NULL,NULL,"","2026-09-21 13:41:27.882305+00"
535,"Margherita Pizza","D142","totalingredientsqty",NULL,NULL,55,NULL,NULL,NULL,"","2026-09-21 13:41:27.882305+00"
536,"Margherita Pizza","D142","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 13:41:27.882305+00"
537,"Margherita Pizza","D142","dish_out",NULL,"Margherita Pizza_1_portion",NULL,0,0,0,"","2026-09-21 13:41:27.882305+00"
538,"Margherita Pizza","D142","mozerella","74","mozerella_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 13:41:27.89651+00"
539,"Margherita Pizza","D142","chilly flakes+oregano","61  62","chilly flakes+oregano_gm_reciepe",14,NULL,NULL,NULL,"","2026-09-21 13:41:27.89651+00"
540,"Margherita Pizza","D142","pasta sauce","48","pasta sauce_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 13:41:27.89651+00"
541,"Margherita Pizza","D142","PIZZA BASE","B3",NULL,1,NULL,NULL,NULL,"","2026-09-21 13:41:27.89651+00"
542,"Margherita Pizza","D142","totalingredientsqty",NULL,NULL,55,NULL,NULL,NULL,"","2026-09-21 13:41:27.89651+00"
543,"Margherita Pizza","D142","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 13:41:27.89651+00"
544,"Margherita Pizza","D142","dish_out",NULL,"Margherita Pizza_1_portion",NULL,0,0,0,"","2026-09-21 13:41:27.89651+00"
545,"MASALA DAL KHICHDI","D096","dal","5","dal_gm_reciepe",250,NULL,NULL,NULL,"","2026-09-21 13:43:14.890917+00"
546,"MASALA DAL KHICHDI","D096","matar","79","matar_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-21 13:43:14.890917+00"
547,"MASALA DAL KHICHDI","D096","rice","3","rice_gm_reciepe",250,NULL,NULL,NULL,"","2026-09-21 13:43:14.890917+00"
548,"MASALA DAL KHICHDI","D096","totalingredientsqty",NULL,NULL,515,NULL,NULL,NULL,"","2026-09-21 13:43:14.890917+00"
549,"MASALA DAL KHICHDI","D096","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 13:43:14.890917+00"
550,"MASALA DAL KHICHDI","D096","dish_out",NULL,"MASALA DAL KHICHDI_1_portion",NULL,0,0,0,"","2026-09-21 13:43:14.890917+00"
551,"MASALA PAPAD","D067","chat amsala","21B","chat amsala_gm_reciepe",2,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
552,"MASALA PAPAD","D067","Coriander","V9","Coriander_gm_reciepe",3,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
553,"MASALA PAPAD","D067","Cucumber","V12","Cucumber_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
554,"MASALA PAPAD","D067","Lemon","V13","Lemon_gm_reciepe",25,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
555,"MASALA PAPAD","D067","Onion","V11","Onion_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
556,"MASALA PAPAD","D067","lal mirch","110","lal mirch_gm_reciepe",2,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
557,"MASALA PAPAD","D067","salt","27A","salt_gm_reciepe",3,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
558,"MASALA PAPAD","D067","Tomato","V18","Tomato_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
559,"MASALA PAPAD","D067","totalingredientsqty",NULL,NULL,95,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
560,"MASALA PAPAD","D067","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 13:48:03.823+00"
561,"MASALA PAPAD","D067","dish_out",NULL,"MASALA PAPAD_1_portion",NULL,0,0,0,"","2026-09-21 13:48:03.823+00"
562,"MIX VEG PARATHA","D007","aaata","1","aaata_gm_reciepe",150,NULL,NULL,NULL,"","2026-09-21 14:10:24.831809+00"
563,"MIX VEG PARATHA","D007","Beans","V5","Beans_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:10:24.831809+00"
564,"MIX VEG PARATHA","D007","Carrot","V4","Carrot_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:10:24.831809+00"
565,"MIX VEG PARATHA","D007","matar","79","matar_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:10:24.831809+00"
566,"MIX VEG PARATHA","D007","PANEER","D3",NULL,50,NULL,NULL,NULL,"","2026-09-21 14:10:24.831809+00"
567,"MIX VEG PARATHA","D007","totalingredientsqty",NULL,NULL,290,NULL,NULL,NULL,"","2026-09-21 14:10:24.831809+00"
568,"MIX VEG PARATHA","D007","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 14:10:24.831809+00"
569,"MIX VEG PARATHA","D007","dish_out",NULL,"MIX VEG PARATHA_1_portion",NULL,0,0,0,"","2026-09-21 14:10:24.831809+00"
570,"MIX RAITA","D085","chat masala","21B","chat masala_gm_reciepe",2,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
571,"MIX RAITA","D085","Cucumber","V12","Cucumber_gm_reciepe",150,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
572,"MIX RAITA","D085","CURD","D2",NULL,250,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
573,"MIX RAITA","D085","degi mirch","12","degi mirch_gm_reciepe",2,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
574,"MIX RAITA","D085","Onion","V11","Onion_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
575,"MIX RAITA","D085","lal mirch","110","lal mirch_gm_reciepe",3,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
576,"MIX RAITA","D085","salt","27A","salt_gm_reciepe",3,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
577,"MIX RAITA","D085","Tomato","V18","Tomato_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
578,"MIX RAITA","D085","totalingredientsqty",NULL,NULL,610,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
579,"MIX RAITA","D085","totalprocessedqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-21 14:13:29.273355+00"
580,"MIX RAITA","D085","dish_out",NULL,"MIX RAITA_1_portion",NULL,0,0,0,"","2026-09-21 14:13:29.273355+00"
581,"MIX RAITA","D085","chat masala","21B","chat masala_gm_reciepe",2,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
582,"MIX RAITA","D085","Cucumber","V12","Cucumber_gm_reciepe",150,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
583,"MIX RAITA","D085","CURD","D2",NULL,250,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
584,"MIX RAITA","D085","degi mirch","12","degi mirch_gm_reciepe",2,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
585,"MIX RAITA","D085","Onion","V11","Onion_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
586,"MIX RAITA","D085","lal mirch","110","lal mirch_gm_reciepe",3,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
587,"MIX RAITA","D085","salt","27A","salt_gm_reciepe",3,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
588,"MIX RAITA","D085","Tomato","V18","Tomato_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
589,"MIX RAITA","D085","totalingredientsqty",NULL,NULL,610,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
590,"MIX RAITA","D085","totalprocessedqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-21 14:13:35.643802+00"
591,"MIX RAITA","D085","dish_out",NULL,"MIX RAITA_1_portion",NULL,0,0,0,"","2026-09-21 14:13:35.643802+00"
592,"MIX VEG PARATHA","D007","aaata","1","aaata_gm_reciepe",150,NULL,NULL,NULL,"","2026-09-21 14:15:40.601591+00"
593,"MIX VEG PARATHA","D007","Carrot","V4","Carrot_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:15:40.601591+00"
594,"MIX VEG PARATHA","D007","matar","79","matar_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:15:40.601591+00"
595,"MIX VEG PARATHA","D007","PANEER","D3",NULL,50,NULL,NULL,NULL,"","2026-09-21 14:15:40.601591+00"
596,"MIX VEG PARATHA","D007","totalingredientsqty",NULL,NULL,260,NULL,NULL,NULL,"","2026-09-21 14:15:40.601591+00"
597,"MIX VEG PARATHA","D007","totalprocessedqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-21 14:15:40.601591+00"
598,"MIX VEG PARATHA","D007","dish_out",NULL,"MIX VEG PARATHA_1_portion",NULL,0,0,0,"","2026-09-21 14:15:40.601591+00"
599,"ONION PARATHA","D005","aaata","1","aaata_gm_reciepe",150,NULL,NULL,NULL,"","2026-09-21 14:18:48.712815+00"
600,"ONION PARATHA","D005","potato","V22","potato_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 14:18:48.712815+00"
601,"ONION PARATHA","D005","PANEER","D3",NULL,50,NULL,NULL,NULL,"","2026-09-21 14:18:48.712815+00"
602,"ONION PARATHA","D005","totalingredientsqty",NULL,NULL,300,NULL,NULL,NULL,"","2026-09-21 14:18:48.712815+00"
603,"ONION PARATHA","D005","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 14:18:48.712815+00"
604,"ONION PARATHA","D005","dish_out",NULL,"ONION PARATHA_1_portion",NULL,0,0,0,"","2026-09-21 14:18:48.712815+00"
605,"Paneer Makhani Pizza","D140","Capsicum","V1","Capsicum_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
606,"Paneer Makhani Pizza","D140","Green Chilli","V2","Green Chilli_gm_reciepe",1.2,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
607,"Paneer Makhani Pizza","D140","Coriander","V9","Coriander_gm_reciepe",7,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
608,"Paneer Makhani Pizza","D140","metonese","50","metonese_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
609,"Paneer Makhani Pizza","D140","mozerella","74","mozerella_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
610,"Paneer Makhani Pizza","D140","PANEER","D3",NULL,100,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
611,"Paneer Makhani Pizza","D140","PIZZA BASE","B3",NULL,1,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
612,"Paneer Makhani Pizza","D140","pasta pizza sauce","48","pasta pizza sauce_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
613,"Paneer Makhani Pizza","D140","Onion","V11","Onion_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
614,"Paneer Makhani Pizza","D140","totalingredientsqty",NULL,NULL,264.2,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
615,"Paneer Makhani Pizza","D140","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 14:23:47.240699+00"
616,"Paneer Makhani Pizza","D140","dish_out",NULL,"Paneer Makhani Pizza_1_portion",NULL,0,0,0,"","2026-09-21 14:23:47.240699+00"
617,"PANEER PARATHA","D009","aaata","1","aaata_gm_reciepe",150,NULL,NULL,NULL,"","2026-09-21 14:27:36.522454+00"
618,"PANEER PARATHA","D009","PANEER","D3",NULL,50,NULL,NULL,NULL,"","2026-09-21 14:27:36.522454+00"
619,"PANEER PARATHA","D009","totalingredientsqty",NULL,NULL,200,NULL,NULL,NULL,"","2026-09-21 14:27:36.522454+00"
620,"PANEER PARATHA","D009","totalprocessedqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-21 14:27:36.522454+00"
621,"PANEER PARATHA","D009","dish_out",NULL,"PANEER PARATHA_1_portion",NULL,0,0,0,"","2026-09-21 14:27:36.522454+00"
622,"PANEER TIKKA","D018","CURD","D2",NULL,250,NULL,NULL,NULL,"","2026-09-21 14:29:15.958067+00"
623,"PANEER TIKKA","D018","PANEER","D3",NULL,140,NULL,NULL,NULL,"","2026-09-21 14:29:15.958067+00"
624,"PANEER TIKKA","D018","sarso tel","23A","sarso tel_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 14:29:15.958067+00"
625,"PANEER TIKKA","D018","totalingredientsqty",NULL,NULL,490,NULL,NULL,NULL,"","2026-09-21 14:29:15.958067+00"
626,"PANEER TIKKA","D018","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 14:29:15.958067+00"
627,"PANEER TIKKA","D018","dish_out",NULL,"PANEER TIKKA_1_portion",NULL,0,0,0,"","2026-09-21 14:29:15.958067+00"
628,"Paneer Tikka Sandwich","D155","metonese","50","metonese_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:32:53.269989+00"
629,"Paneer Tikka Sandwich","D155","PANEER","D3",NULL,100,NULL,NULL,NULL,"","2026-09-21 14:32:53.269989+00"
630,"Paneer Tikka Sandwich","D155","cheese processed","81","cheese processed_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-21 14:32:53.269989+00"
631,"Paneer Tikka Sandwich","D155","tika sauce","52","tika sauce_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:32:53.269989+00"
632,"Paneer Tikka Sandwich","D155","totalingredientsqty",NULL,NULL,175,NULL,NULL,NULL,"","2026-09-21 14:32:53.269989+00"
633,"Paneer Tikka Sandwich","D155","totalprocessedqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-21 14:32:53.269989+00"
634,"Paneer Tikka Sandwich","D155","dish_out",NULL,"Paneer Tikka Sandwich_1_portion",NULL,0,0,0,"","2026-09-21 14:32:53.269989+00"
635,"Peri Peri Fries","D112","fries","78","fries_gm_reciepe",250,NULL,NULL,NULL,"","2026-09-21 14:40:14.882436+00"
636,"Peri Peri Fries","D112","peri peri masala","64","peri peri masala_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-21 14:40:14.882436+00"
637,"Peri Peri Fries","D112","totalingredientsqty",NULL,NULL,265,NULL,NULL,NULL,"","2026-09-21 14:40:14.882436+00"
638,"Peri Peri Fries","D112","totalprocessedqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-21 14:40:14.882436+00"
639,"Peri Peri Fries","D112","dish_out",NULL,"Peri Peri Fries_1_portion",NULL,0,0,0,"","2026-09-21 14:40:14.882436+00"
640,"PERI PERI BURGER","D148","aloo tikki","77A","aloo tikki_gm_reciepe",70,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
641,"PERI PERI BURGER","D148","BURGER BUN","B2",NULL,1,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
642,"PERI PERI BURGER","D148","Cucumber","V12","Cucumber_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
643,"PERI PERI BURGER","D148","metonese","50","metonese_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
644,"PERI PERI BURGER","D148","Cabbage","V7","Cabbage_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
645,"PERI PERI BURGER","D148","Onion","V11","Onion_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
646,"PERI PERI BURGER","D148","Capsicum","V1","Capsicum_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
647,"PERI PERI BURGER","D148","Tomato","V18","Tomato_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
648,"PERI PERI BURGER","D148","thousand sauce","54","thousand sauce_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
649,"PERI PERI BURGER","D148","totalingredientsqty",NULL,NULL,186,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
650,"PERI PERI BURGER","D148","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 14:42:56.838238+00"
651,"PERI PERI BURGER","D148","dish_out",NULL,"PERI PERI BURGER_1_portion",NULL,0,0,0,"","2026-09-21 14:42:56.838238+00"
652,"PERI PERI MAGGI","D163","maggi","67","maggi_gm_reciepe",70,NULL,NULL,NULL,"","2026-09-21 15:00:44.34439+00"
653,"PERI PERI MAGGI","D163","maggi masala","66","maggi masala_gm_reciepe",1,NULL,NULL,NULL,"","2026-09-21 15:00:44.34439+00"
654,"PERI PERI MAGGI","D163","peri peri sauce","49","peri peri sauce_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 15:00:44.34439+00"
655,"PERI PERI MAGGI","D163","peri peri masala","64","peri peri masala_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:00:44.34439+00"
656,"PERI PERI MAGGI","D163","totalingredientsqty",NULL,NULL,101,NULL,NULL,NULL,"","2026-09-21 15:00:44.34439+00"
657,"PERI PERI MAGGI","D163","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 15:00:44.34439+00"
658,"PERI PERI MAGGI","D163","dish_out",NULL,"PERI PERI MAGGI_1_portion",NULL,0,0,0,"","2026-09-21 15:00:44.34439+00"
659,"Peri Peri Pizza","D143","Capsicum","V1","Capsicum_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
660,"Peri Peri Pizza","D143","jalapeno","60B","jalapeno_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
661,"Peri Peri Pizza","D143","meyonese","50","meyonese_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
662,"Peri Peri Pizza","D143","mozerella","74","mozerella_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
663,"Peri Peri Pizza","D143","pizza sauce","48","pizza sauce_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
664,"Peri Peri Pizza","D143","Onion","V11","Onion_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
665,"Peri Peri Pizza","D143","red peprica","60A","red peprica_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
666,"Peri Peri Pizza","D143","totalingredientsqty",NULL,NULL,255,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
667,"Peri Peri Pizza","D143","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 15:09:43.955198+00"
668,"Peri Peri Pizza","D143","dish_out",NULL,"Peri Peri Pizza_1_portion",NULL,0,0,0,"","2026-09-21 15:09:43.955198+00"
669,"Pizza Sandwich","D158","corn","80","corn_gm_reciepe",100,NULL,NULL,NULL,"","2026-09-21 15:34:45.302575+00"
670,"Pizza Sandwich","D158","mozerella","74","mozerella_gm_reciepe",50,NULL,NULL,NULL,"","2026-09-21 15:34:45.302575+00"
671,"Pizza Sandwich","D158","metonese","50","metonese_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-21 15:34:45.302575+00"
672,"Pizza Sandwich","D158","Capsicum","V1","Capsicum_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:34:45.302575+00"
673,"Pizza Sandwich","D158","totalingredientsqty",NULL,NULL,190,NULL,NULL,NULL,"","2026-09-21 15:34:45.302575+00"
674,"Pizza Sandwich","D158","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 15:34:45.302575+00"
675,"Pizza Sandwich","D158","dish_out",NULL,"Pizza Sandwich_1_portion",NULL,0,0,0,"","2026-09-21 15:34:45.302575+00"
676,"PLAIN MAGGI","D162","maggi","67","maggi_gm_reciepe",1,NULL,NULL,NULL,"","2026-09-21 15:36:27.228526+00"
677,"PLAIN MAGGI","D162","maggi masala","66","maggi masala_gm_reciepe",1,NULL,NULL,NULL,"","2026-09-21 15:36:27.228526+00"
678,"PLAIN MAGGI","D162","totalingredientsqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-21 15:36:27.228526+00"
679,"PLAIN MAGGI","D162","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 15:36:27.228526+00"
680,"PLAIN MAGGI","D162","dish_out",NULL,"PLAIN MAGGI _1_portion",NULL,0,0,0,"","2026-09-21 15:36:27.228526+00"
681,"PUNJABI MAGGI","D166","butter","73","butter_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
682,"PUNJABI MAGGI","D166","degi mirch","12","degi mirch_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
683,"PUNJABI MAGGI","D166","Carrot","V4","Carrot_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
684,"PUNJABI MAGGI","D166","jeera","15","jeera_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
685,"PUNJABI MAGGI","D166","kitchen king","13","kitchen king_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
686,"PUNJABI MAGGI","D166","lal mirch","110","lal mirch_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
687,"PUNJABI MAGGI","D166","Garlic","V10","Garlic_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
688,"PUNJABI MAGGI","D166","maggi","67","maggi_gm_reciepe",70,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
689,"PUNJABI MAGGI","D166","Onion","V11","Onion_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
690,"PUNJABI MAGGI","D166","Capsicum","V1","Capsicum_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
691,"PUNJABI MAGGI","D166","totalingredientsqty",NULL,NULL,145,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
692,"PUNJABI MAGGI","D166","totalprocessedqty",NULL,NULL,0,NULL,NULL,NULL,"","2026-09-21 15:40:38.194519+00"
693,"PUNJABI MAGGI","D166","dish_out",NULL,"PUNJABI MAGGI_1_portion",NULL,0,0,0,"","2026-09-21 15:40:38.194519+00"
694,"PUNJABI MAGGI","D166","butter","73","butter_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
695,"PUNJABI MAGGI","D166","degi mirch","12","degi mirch_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
696,"PUNJABI MAGGI","D166","Carrot","V4","Carrot_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
697,"PUNJABI MAGGI","D166","jeera","15","jeera_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
698,"PUNJABI MAGGI","D166","kitchen king","13","kitchen king_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
699,"PUNJABI MAGGI","D166","lal mirch","110","lal mirch_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
700,"PUNJABI MAGGI","D166","Garlic","V10","Garlic_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
701,"PUNJABI MAGGI","D166","maggi","67","maggi_gm_reciepe",70,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
702,"PUNJABI MAGGI","D166","Onion","V11","Onion_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
703,"PUNJABI MAGGI","D166","Capsicum","V1","Capsicum_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-21 15:46:59.746891+00"
